booking_no,branch_code,customer_name,due_date,payment_date,amount_due,amount_paid,status
5124804323401,8504,Customer_99,2025-01-18,2025-01-19,1284000,1784000,OVERPAID
1812727246494,3001,Customer_100,2025-05-08,2025-05-11,1500000,2000000,OVERPAID
1703649999782,8504,Customer_101,2025-03-26,2025-03-29,1000000,1500000,OVERPAID
1569297012132,2000,Customer_102,2025-06-12,2025-06-12,1000000,800000,UNDERPAID
5357871058598,4002,Customer_103,2025-06-24,2025-06-25,1000000,1500000,OVERPAID
6280152417086,3001,Customer_104,2025-04-30,,1000000,,UNPAID
3452678593922,2000,Customer_105,2025-02-18,2025-02-21,1500000,1500000,PAID
1249632922008,3001,Customer_106,2025-05-29,,1500000,,UNPAID
4026988732525,3001,Customer_107,2025-03-13,,1200000,,UNPAID
6028162925117,4002,Customer_108,2025-06-27,,1000000,,UNPAID
5874184975591,4002,Customer_109,2025-02-06,2025-02-07,1500000,2000000,OVERPAID
1851661640831,2000,Customer_110,2025-06-24,2025-06-27,1284000,1084000,UNDERPAID
3520766501706,4002,Customer_111,2025-02-12,,1284000,,UNPAID
1728311191628,8504,Customer_112,2025-05-21,,1200000,,UNPAID
3037806084175,4002,Customer_113,2025-04-02,2025-04-03,1200000,1700000,OVERPAID
6618856455672,8504,Customer_114,2025-05-23,2025-05-23,1500000,2000000,OVERPAID
2653919829164,2000,Customer_115,2025-03-03,2025-03-03,1284000,1084000,UNDERPAID
1030246613072,4002,Customer_116,2025-05-06,2025-05-06,1500000,1300000,UNDERPAID
9877518015845,4002,Customer_117,2025-02-12,2025-02-12,1200000,1700000,OVERPAID
8141500082417,2000,Customer_118,2025-01-10,2025-01-13,1200000,1200000,PAID
1577114489527,8504,Customer_119,2025-04-16,,1500000,,UNPAID
6775895397749,8504,Customer_120,2025-01-29,2025-01-29,1200000,1200000,PAID
1666683864039,4002,Customer_121,2025-06-23,2025-06-24,1000000,1500000,OVERPAID
1112480447111,3001,Customer_122,2025-06-09,2025-06-10,1000000,1000000,PAID
6267278112994,8504,Customer_123,2025-06-11,2025-06-14,1200000,1000000,UNDERPAID
8241695054211,8504,Customer_124,2025-01-15,2025-01-16,1284000,1084000,UNDERPAID
1331792082675,8504,Customer_125,2025-06-27,,1000000,,UNPAID
4222635166149,2000,Customer_126,2025-06-11,2025-06-14,1000000,1000000,PAID
6423748180498,4002,Customer_127,2025-02-11,,1284000,,UNPAID
4652223416524,4002,Customer_128,2025-03-01,,1500000,,UNPAID
3782847629217,3001,Customer_129,2025-02-24,2025-02-25,1500000,2000000,OVERPAID
2210615497570,4002,Customer_130,2025-03-10,2025-03-13,1284000,1284000,PAID
9583839748099,2000,Customer_131,2025-03-23,2025-03-23,1000000,1500000,OVERPAID
1356571200203,8504,Customer_132,2025-04-20,2025-04-23,1284000,1784000,OVERPAID
4421185375538,3001,Customer_133,2025-02-22,2025-02-22,1200000,1200000,PAID
3259591765892,4002,Customer_134,2025-02-08,2025-02-09,1200000,1700000,OVERPAID
4800733576187,3001,Customer_135,2025-05-22,,1284000,,UNPAID
2716987100136,4002,Customer_136,2025-06-24,2025-06-24,1200000,1000000,UNDERPAID
7254139646788,8504,Customer_137,2025-06-30,,1284000,,UNPAID
6970890887283,2000,Customer_138,2025-03-02,2025-03-05,1200000,1200000,PAID
4917123142367,4002,Customer_139,2025-05-06,2025-05-07,1500000,1500000,PAID
4101885060467,8504,Customer_140,2025-02-23,2025-02-24,1284000,1784000,OVERPAID
5740212140792,2000,Customer_141,2025-01-28,2025-01-31,1500000,2000000,OVERPAID
2417498196369,8504,Customer_142,2025-02-20,2025-02-23,1200000,1200000,PAID
5529353870681,4002,Customer_143,2025-04-17,2025-04-20,1284000,1084000,UNDERPAID
8654451335495,3001,Customer_144,2025-04-07,2025-04-07,1284000,1284000,PAID
6222535028615,2000,Customer_145,2025-01-29,2025-02-01,1284000,1784000,OVERPAID
1930563728771,3001,Customer_146,2025-04-10,2025-04-10,1284000,1084000,UNDERPAID
1065736012295,2000,Customer_147,2025-02-11,2025-02-14,1200000,1000000,UNDERPAID
1780639796628,2000,Customer_148,2025-06-16,2025-06-16,1500000,1500000,PAID
4979109103362,3001,Customer_149,2025-02-10,2025-02-10,1200000,1200000,PAID
7576919132616,2000,Customer_150,2025-06-30,2025-06-30,1000000,800000,UNDERPAID
2462707445700,4002,Customer_151,2025-06-15,2025-06-16,1500000,1300000,UNDERPAID
5684426685724,2000,Customer_152,2025-06-05,,1284000,,UNPAID
2076417607061,3001,Customer_153,2025-01-03,,1284000,,UNPAID
6583718003767,3001,Customer_154,2025-06-13,2025-06-16,1000000,1500000,OVERPAID
7182632041732,4002,Customer_155,2025-01-18,,1000000,,UNPAID
8512899854727,4002,Customer_156,2025-03-26,,1284000,,UNPAID
9773275182039,3001,Customer_157,2025-06-01,2025-06-01,1200000,1000000,UNDERPAID
8303917499819,4002,Customer_158,2025-05-27,2025-05-28,1000000,1500000,OVERPAID
5177595215886,3001,Customer_159,2025-03-23,,1000000,,UNPAID
5452768103153,2000,Customer_160,2025-04-30,2025-05-01,1200000,1700000,OVERPAID
1360941044577,4002,Customer_161,2025-06-12,2025-06-13,1500000,2000000,OVERPAID
9180346729982,4002,Customer_162,2025-01-22,2025-01-23,1500000,1500000,PAID
9120729463811,2000,Customer_163,2025-05-24,2025-05-27,1000000,1500000,OVERPAID
8964373103948,4002,Customer_164,2025-01-11,2025-01-12,1284000,1084000,UNDERPAID
7452470622566,2000,Customer_165,2025-01-19,2025-01-22,1000000,1000000,PAID
3476625635518,3001,Customer_166,2025-04-21,2025-04-24,1200000,1700000,OVERPAID
2850367856935,4002,Customer_167,2025-06-02,2025-06-03,1500000,1500000,PAID
4636424525844,3001,Customer_168,2025-01-09,2025-01-12,1200000,1200000,PAID
8969663078919,8504,Customer_169,2025-03-20,,1284000,,UNPAID
5553808353365,8504,Customer_170,2025-01-30,2025-02-02,1200000,1200000,PAID
5919546153258,2000,Customer_171,2025-06-19,2025-06-19,1284000,1084000,UNDERPAID
1288221047614,4002,Customer_172,2025-03-26,,1000000,,UNPAID
1246787461897,2000,Customer_173,2025-06-28,2025-06-28,1200000,1000000,UNDERPAID
4598755916018,2000,Customer_174,2025-05-13,2025-05-14,1284000,1084000,UNDERPAID
6924783170993,4002,Customer_175,2025-04-13,2025-04-16,1200000,1700000,OVERPAID
3049738405120,3001,Customer_176,2025-04-24,2025-04-27,1284000,1084000,UNDERPAID
6980120280019,3001,Customer_177,2025-05-15,2025-05-16,1000000,1500000,OVERPAID
1878293383711,3001,Customer_178,2025-01-18,,1284000,,UNPAID
1399280251723,3001,Customer_179,2025-04-02,2025-04-03,1000000,1000000,PAID
8055327826341,4002,Customer_180,2025-06-11,,1000000,,UNPAID
1422407437396,3001,Customer_181,2025-04-26,2025-04-27,1284000,1284000,PAID
3543321566836,3001,Customer_182,2025-06-10,2025-06-10,1000000,800000,UNDERPAID
2785870037656,8504,Customer_183,2025-05-18,2025-05-19,1500000,1300000,UNDERPAID
3983780846893,4002,Customer_184,2025-04-14,2025-04-17,1200000,1000000,UNDERPAID
4413597079941,4002,Customer_185,2025-01-30,2025-01-30,1200000,1000000,UNDERPAID
3332368802705,4002,Customer_186,2025-06-08,2025-06-09,1284000,1084000,UNDERPAID
2086530317169,4002,Customer_187,2025-01-08,2025-01-11,1200000,1200000,PAID
2983275733828,4002,Customer_188,2025-01-17,2025-01-18,1200000,1000000,UNDERPAID
5565188579155,2000,Customer_189,2025-06-06,2025-06-06,1000000,1000000,PAID
3454788668853,8504,Customer_190,2025-01-24,,1284000,,UNPAID
2222176828838,2000,Customer_191,2025-02-07,2025-02-10,1500000,2000000,OVERPAID
4136360440074,2000,Customer_192,2025-04-18,2025-04-19,1284000,1784000,OVERPAID
6331246870804,8504,Customer_193,2025-06-29,2025-06-29,1000000,800000,UNDERPAID
3787207707652,3001,Customer_194,2025-01-30,2025-01-31,1000000,1500000,OVERPAID
3624443086540,8504,Customer_195,2025-06-13,2025-06-14,1284000,1284000,PAID
6677539691292,2000,Customer_196,2025-05-02,,1500000,,UNPAID
3642573312252,4002,Customer_197,2025-03-13,2025-03-14,1500000,1500000,PAID
7443612460702,4002,Customer_198,2025-06-08,,1284000,,UNPAID
8608464213348,8504,Customer_199,2025-03-16,2025-03-16,1000000,1500000,OVERPAID
2417343999634,3001,Customer_200,2025-05-08,2025-05-09,1284000,1084000,UNDERPAID
8771649468067,4002,Customer_201,2025-02-15,2025-02-16,1284000,1284000,PAID
1130796229506,4002,Customer_202,2025-04-17,2025-04-20,1000000,800000,UNDERPAID
6474188529286,8504,Customer_203,2025-03-19,2025-03-19,1500000,2000000,OVERPAID
8699784770058,2000,Customer_204,2025-02-19,2025-02-22,1500000,1300000,UNDERPAID
9811160127432,4002,Customer_205,2025-03-27,2025-03-27,1200000,1700000,OVERPAID
1883779678526,4002,Customer_206,2025-05-26,2025-05-29,1500000,2000000,OVERPAID
6007183526919,2000,Customer_207,2025-06-17,,1284000,,UNPAID
9975977461974,8504,Customer_208,2025-04-17,2025-04-18,1200000,1000000,UNDERPAID
5359787919458,4002,Customer_209,2025-05-04,2025-05-05,1284000,1284000,PAID
9253143565903,2000,Customer_210,2025-06-25,2025-06-28,1284000,1784000,OVERPAID
6369573913831,3001,Customer_211,2025-02-17,,1200000,,UNPAID
9830392548045,4002,Customer_212,2025-01-15,2025-01-15,1284000,1784000,OVERPAID
4416529335681,3001,Customer_213,2025-06-24,2025-06-24,1284000,1084000,UNDERPAID
2817466206324,4002,Customer_214,2025-04-02,,1500000,,UNPAID
7953849585455,2000,Customer_215,2025-01-10,2025-01-11,1200000,1700000,OVERPAID
1641759853003,4002,Customer_216,2025-03-22,2025-03-23,1200000,1000000,UNDERPAID
9978186852521,4002,Customer_217,2025-04-09,2025-04-09,1000000,1500000,OVERPAID
8030863294734,4002,Customer_218,2025-06-03,,1284000,,UNPAID
6162727655387,4002,Customer_219,2025-02-08,2025-02-08,1200000,1200000,PAID
7716829698213,4002,Customer_220,2025-03-11,2025-03-14,1500000,2000000,OVERPAID
8661739266039,2000,Customer_221,2025-03-28,2025-03-31,1000000,1500000,OVERPAID
3266691738028,4002,Customer_222,2025-05-12,2025-05-13,1284000,1784000,OVERPAID
6233713314448,8504,Customer_223,2025-04-02,2025-04-02,1500000,2000000,OVERPAID
4335645639441,8504,Customer_224,2025-04-25,,1284000,,UNPAID
7898187923802,4002,Customer_225,2025-03-27,2025-03-30,1284000,1784000,OVERPAID
1412182708082,3001,Customer_226,2025-03-31,2025-03-31,1500000,2000000,OVERPAID
3705293760077,4002,Customer_227,2025-06-15,2025-06-18,1500000,1500000,PAID
9068202191530,2000,Customer_228,2025-03-10,,1500000,,UNPAID
9071272598988,4002,Customer_229,2025-04-18,2025-04-21,1284000,1084000,UNDERPAID
7608851503196,3001,Customer_230,2025-05-15,2025-05-16,1284000,1084000,UNDERPAID
1903793463728,2000,Customer_231,2025-01-01,2025-01-04,1200000,1200000,PAID
4126131961908,2000,Customer_232,2025-06-13,,1500000,,UNPAID
1272216619978,2000,Customer_233,2025-06-29,,1000000,,UNPAID
9187211457345,2000,Customer_234,2025-04-17,,1200000,,UNPAID
8226180381175,2000,Customer_235,2025-06-05,2025-06-05,1000000,1000000,PAID
1339600827243,2000,Customer_236,2025-06-21,2025-06-21,1000000,1500000,OVERPAID
5092820803580,3001,Customer_237,2025-04-25,2025-04-28,1200000,1700000,OVERPAID
3226718256750,2000,Customer_238,2025-02-05,2025-02-05,1500000,1300000,UNDERPAID
1217921211305,3001,Customer_239,2025-06-11,2025-06-11,1284000,1084000,UNDERPAID
4735507376080,4002,Customer_240,2025-01-21,2025-01-24,1500000,2000000,OVERPAID
5658805646508,3001,Customer_241,2025-01-09,2025-01-10,1200000,1700000,OVERPAID
6132451054791,3001,Customer_242,2025-01-19,2025-01-20,1284000,1784000,OVERPAID
1270717868271,3001,Customer_243,2025-05-19,2025-05-22,1200000,1200000,PAID
2589243794271,8504,Customer_244,2025-05-11,,1284000,,UNPAID
6375417433752,4002,Customer_245,2025-02-13,2025-02-13,1000000,1500000,OVERPAID
4978529133677,3001,Customer_246,2025-05-20,2025-05-23,1500000,1300000,UNDERPAID
8034238228325,4002,Customer_247,2025-04-02,,1000000,,UNPAID
7535563265115,8504,Customer_248,2025-02-02,2025-02-05,1500000,2000000,OVERPAID
7373770107050,3001,Customer_249,2025-02-19,2025-02-19,1000000,1500000,OVERPAID
1671360709291,3001,Customer_250,2025-04-16,2025-04-16,1284000,1084000,UNDERPAID
7799229226960,3001,Customer_251,2025-06-18,2025-06-18,1284000,1284000,PAID
2924402148323,2000,Customer_252,2025-06-12,2025-06-15,1284000,1284000,PAID
8201434668581,2000,Customer_253,2025-06-11,2025-06-14,1284000,1084000,UNDERPAID
9380760546283,3001,Customer_254,2025-06-28,2025-06-28,1200000,1000000,UNDERPAID
9581586629282,2000,Customer_255,2025-03-09,2025-03-12,1500000,1500000,PAID
6293273797336,2000,Customer_256,2025-02-25,2025-02-26,1000000,1000000,PAID
1860741480174,8504,Customer_257,2025-04-16,,1500000,,UNPAID
7239371398320,8504,Customer_258,2025-05-20,2025-05-21,1500000,1300000,UNDERPAID
4687619328543,8504,Customer_259,2025-06-23,,1284000,,UNPAID
1107541086821,4002,Customer_260,2025-06-21,2025-06-22,1500000,1500000,PAID
6894967970921,2000,Customer_261,2025-06-13,2025-06-13,1500000,2000000,OVERPAID
1678733938904,2000,Customer_262,2025-02-11,2025-02-11,1200000,1700000,OVERPAID
8574826965548,2000,Customer_263,2025-03-01,2025-03-04,1000000,1000000,PAID
4813453916108,4002,Customer_264,2025-03-04,,1500000,,UNPAID
6296546179825,4002,Customer_265,2025-02-13,2025-02-13,1200000,1200000,PAID
5203589695517,2000,Customer_266,2025-05-23,,1200000,,UNPAID
4633471478886,2000,Customer_267,2025-05-30,2025-06-02,1500000,1500000,PAID
8383129751630,8504,Customer_268,2025-01-11,2025-01-14,1000000,1500000,OVERPAID
1340716083201,2000,Customer_269,2025-06-10,2025-06-11,1284000,1784000,OVERPAID
2784455925652,2000,Customer_270,2025-05-15,2025-05-18,1000000,800000,UNDERPAID
5964765187563,8504,Customer_271,2025-05-09,2025-05-09,1200000,1200000,PAID
1036488873926,3001,Customer_272,2025-05-28,,1200000,,UNPAID
1380273273601,2000,Customer_273,2025-05-29,2025-05-29,1200000,1700000,OVERPAID
1781493384859,8504,Customer_274,2025-01-16,2025-01-16,1500000,2000000,OVERPAID
5996655810004,4002,Customer_275,2025-05-31,2025-06-03,1500000,1500000,PAID
3152783444868,3001,Customer_276,2025-05-30,2025-05-30,1200000,1700000,OVERPAID
9587174446570,3001,Customer_277,2025-01-05,,1200000,,UNPAID
2108829910929,8504,Customer_278,2025-03-06,2025-03-09,1000000,1500000,OVERPAID
6246431334214,4002,Customer_279,2025-02-01,2025-02-04,1200000,1200000,PAID
5758330570529,3001,Customer_280,2025-01-03,2025-01-06,1000000,1000000,PAID
5299637234096,2000,Customer_281,2025-03-18,,1284000,,UNPAID
8946818372040,4002,Customer_282,2025-03-22,2025-03-25,1200000,1200000,PAID
2143463755424,8504,Customer_283,2025-06-29,2025-06-29,1000000,1000000,PAID
3269174158553,4002,Customer_284,2025-03-21,,1500000,,UNPAID
7305945606698,2000,Customer_285,2025-06-07,2025-06-08,1000000,1500000,OVERPAID
2595185991215,8504,Customer_286,2025-03-30,2025-04-02,1284000,1084000,UNDERPAID
8825634050686,3001,Customer_287,2025-04-29,,1000000,,UNPAID
3967328076652,2000,Customer_288,2025-02-25,2025-02-25,1200000,1200000,PAID
7658646903766,4002,Customer_289,2025-05-03,2025-05-06,1200000,1000000,UNDERPAID
6809412049596,3001,Customer_290,2025-06-08,2025-06-11,1500000,2000000,OVERPAID
6617797857303,8504,Customer_291,2025-06-05,2025-06-06,1500000,2000000,OVERPAID
4389531581892,8504,Customer_292,2025-04-02,2025-04-02,1500000,1500000,PAID
5598176241247,4002,Customer_293,2025-03-18,2025-03-18,1000000,800000,UNDERPAID
3785595284055,8504,Customer_294,2025-01-13,2025-01-14,1000000,800000,UNDERPAID
4851313639506,2000,Customer_295,2025-03-14,2025-03-17,1284000,1084000,UNDERPAID
9494459885808,4002,Customer_296,2025-03-03,2025-03-06,1284000,1784000,OVERPAID
3718865495320,3001,Customer_297,2025-03-10,2025-03-13,1000000,800000,UNDERPAID
4862453089384,8504,Customer_298,2025-01-28,2025-01-31,1284000,1084000,UNDERPAID
1264386744392,4002,Customer_299,2025-01-18,2025-01-21,1000000,1500000,OVERPAID
1694980689284,4002,Customer_300,2025-06-05,2025-06-05,1000000,1000000,PAID
3195143017501,3001,Customer_301,2025-02-18,2025-02-18,1000000,1000000,PAID
1647966872665,2000,Customer_302,2025-05-02,,1000000,,UNPAID
8667377584400,4002,Customer_303,2025-05-23,2025-05-23,1284000,1784000,OVERPAID
1919686859296,3001,Customer_304,2025-05-19,,1284000,,UNPAID
8944981502291,4002,Customer_305,2025-02-27,2025-02-28,1200000,1200000,PAID
4844113782217,3001,Customer_306,2025-05-02,2025-05-05,1500000,2000000,OVERPAID
2738227350741,8504,Customer_307,2025-01-16,2025-01-19,1284000,1284000,PAID
5530441646808,2000,Customer_308,2025-02-19,2025-02-20,1284000,1784000,OVERPAID
4594915752735,4002,Customer_309,2025-04-07,2025-04-08,1200000,1000000,UNDERPAID
3698781759387,3001,Customer_310,2025-04-08,2025-04-08,1284000,1284000,PAID
1707611780434,2000,Customer_311,2025-03-20,,1500000,,UNPAID
8208116701706,8504,Customer_312,2025-02-25,2025-02-25,1284000,1784000,OVERPAID
4640210592562,8504,Customer_313,2025-04-22,2025-04-23,1000000,800000,UNDERPAID
5746371300013,2000,Customer_314,2025-06-27,2025-06-27,1284000,1784000,OVERPAID
7313812271927,4002,Customer_315,2025-01-05,2025-01-08,1284000,1084000,UNDERPAID
5177514727009,4002,Customer_316,2025-03-17,2025-03-17,1000000,800000,UNDERPAID
7403530426785,8504,Customer_317,2025-05-31,,1000000,,UNPAID
1312124547292,2000,Customer_318,2025-01-16,2025-01-17,1284000,1784000,OVERPAID
5714289008402,4002,Customer_319,2025-01-28,2025-01-29,1500000,1500000,PAID
7822934846699,2000,Customer_320,2025-03-04,2025-03-04,1284000,1084000,UNDERPAID
6760417089310,2000,Customer_321,2025-05-17,2025-05-20,1000000,1000000,PAID
3618206042579,2000,Customer_322,2025-02-15,,1284000,,UNPAID
1638185063331,3001,Customer_323,2025-05-14,,1200000,,UNPAID
2640152978372,3001,Customer_324,2025-03-08,2025-03-09,1284000,1784000,OVERPAID
4318800673469,3001,Customer_325,2025-01-03,,1284000,,UNPAID
5619283696293,8504,Customer_326,2025-03-19,,1284000,,UNPAID
1848721296561,3001,Customer_327,2025-03-09,2025-03-10,1500000,2000000,OVERPAID
5194379590039,4002,Customer_328,2025-04-24,,1000000,,UNPAID
6298838095315,8504,Customer_329,2025-05-17,2025-05-18,1500000,1300000,UNDERPAID
9519303935064,3001,Customer_330,2025-03-12,2025-03-15,1200000,1700000,OVERPAID
3846360639457,8504,Customer_331,2025-01-11,2025-01-12,1000000,1000000,PAID
3145584182176,8504,Customer_332,2025-05-12,2025-05-13,1000000,800000,UNDERPAID
3716407850387,3001,Customer_333,2025-01-27,2025-01-30,1200000,1000000,UNDERPAID
5921171420533,2000,Customer_334,2025-04-28,2025-04-28,1200000,1700000,OVERPAID
6347371574710,4002,Customer_335,2025-04-22,2025-04-25,1000000,800000,UNDERPAID
1088240612682,3001,Customer_336,2025-06-16,2025-06-19,1500000,2000000,OVERPAID
6050174736177,8504,Customer_337,2025-03-28,,1500000,,UNPAID
8224570385375,2000,Customer_338,2025-05-26,2025-05-29,1000000,1500000,OVERPAID
